id_campaña_adquisicion,id_cliente,fecha,importe
XMAS23,C0001,2023-12-01,47.46
XMAS23,C0001,2024-01-01,45.4
XMAS23,C0001,2024-02-01,45.81
XMAS23,C0001,2024-03-01,45.6
XMAS23,C0002,2023-12-01,41.42
XMAS23,C0002,2024-01-01,40.79
XMAS23,C0002,2024-02-01,40.89
XMAS23,C0002,2024-03-01,40.15
XMAS23,C0002,2024-04-01,39.39
XMAS23,C0002,2024-05-01,40.4
XMAS23,C0003,2023-12-01,58.33
XMAS23,C0003,2024-01-01,59.2
XMAS23,C0003,2024-02-01,59.03
XMAS23,C0004,2023-12-01,19.75
XMAS23,C0004,2024-01-01,19.67
XMAS23,C0004,2024-02-01,20.15
XMAS23,C0004,2024-03-01,19.7
XMAS23,C0005,2023-12-01,48.57
XMAS23,C0005,2024-01-01,47.9
XMAS23,C0005,2024-02-01,46.49
XMAS23,C0006,2023-12-01,49.01
XMAS23,C0006,2024-01-01,48.26
XMAS23,C0006,2024-02-01,49.17
XMAS23,C0006,2024-03-01,50.64
XMAS23,C0007,2023-12-01,33.67
XMAS23,C0007,2024-01-01,33.68
XMAS23,C0007,2024-02-01,32.75
XMAS23,C0008,2023-12-01,64.05
XMAS23,C0008,2024-01-01,67.51
XMAS23,C0008,2024-02-01,66.96
XMAS23,C0009,2023-12-01,37.11
XMAS23,C0009,2024-01-01,37.05
XMAS23,C0009,2024-02-01,38.41
XMAS23,C0010,2023-12-01,60.03
XMAS23,C0010,2024-01-01,59.11
XMAS23,C0010,2024-02-01,59.21
XMAS23,C0011,2023-12-01,93.58
XMAS23,C0011,2024-01-01,93.06
XMAS23,C0011,2024-02-01,96.63
XMAS23,C0012,2023-12-01,31.87
XMAS23,C0012,2024-01-01,32.13
XMAS23,C0012,2024-02-01,30.96
XMAS23,C0013,2023-12-01,52.76
XMAS23,C0013,2024-01-01,50.99
XMAS23,C0013,2024-02-01,50.37
XMAS23,C0014,2023-12-01,48.85
XMAS23,C0014,2024-01-01,47.63
XMAS23,C0014,2024-02-01,49.22
XMAS23,C0015,2023-12-01,46.4
XMAS23,C0015,2024-01-01,46.72
XMAS23,C0015,2024-02-01,46.31
XMAS23,C0015,2024-03-01,45.94
XMAS23,C0015,2024-04-01,46.84
XMAS23,C0016,2023-12-01,63.46
XMAS23,C0016,2024-01-01,66.09
XMAS23,C0016,2024-02-01,64.01
XMAS23,C0017,2023-12-01,70.75
XMAS23,C0017,2024-01-01,71.99
XMAS23,C0017,2024-02-01,69.81
XMAS23,C0018,2023-12-01,63.04
XMAS23,C0018,2024-01-01,64.32
XMAS23,C0018,2024-02-01,63.27
XMAS23,C0018,2024-03-01,65.47
XMAS23,C0018,2024-04-01,65.91
XMAS23,C0019,2023-12-01,42.68
XMAS23,C0019,2024-01-01,44.0
XMAS23,C0019,2024-02-01,45.37
XMAS23,C0020,2023-12-01,89.04
XMAS23,C0020,2024-01-01,88.46
XMAS23,C0020,2024-02-01,87.58
XMAS23,C0021,2023-12-01,29.71
XMAS23,C0021,2024-01-01,29.01
XMAS23,C0021,2024-02-01,28.93
XMAS23,C0021,2024-03-01,29.47
XMAS23,C0022,2023-12-01,39.23
XMAS23,C0022,2024-01-01,41.04
XMAS23,C0022,2024-02-01,39.78
XMAS23,C0022,2024-03-01,39.86
